state,Office UUID,Office Name,Seat,Office Level,Office Role,Office Category,Body Name,Jurisdiction,Jurisdiction OCDID,OCDID,Electoral District,Person UUID,Official Name,Official Party,party,wnw,race,sex,level,include,state
AZ,16ba5052-6ae1-44a4-ae05-5d87205c9536,Tucson City Council Member,Ward 6,locality,,,,Tucson city,,ocd-division/country:us/state:az/place:tucson,Tucson City Council Ward 6,e9fc3872-a92a-402f-9153-db3bf7977cba,Steve Kozachik,Democratic Party,Democratic Party,White,White,Male,City,1,AZ
AZ,85beac97-fb28-4dd1-9aa4-c71d74c2a53c,Tucson City Council Member,Ward 4,locality,,,,Tucson city,,ocd-division/country:us/state:az/place:tucson,Tucson City Council Ward 4,44951311-63b2-4401-9e94-f868462aedbe,Nikki Lee,Democratic Party,Democratic Party,White,White,Female,City,1,AZ
CA,8a43e396-46ba-4b2c-9dea-ba10fd62bf18,Anaheim Mayor,,locality,,,,Anaheim city,,ocd-division/country:us/state:ca/place:anaheim,Anaheim city,78d9c149-4a29-4155-b1d6-7d5c481affdc,Harry Sidhu,Nonpartisan,Independent,Non-White,Asian American or Pacific Islander,Male,City,1,CA
CA,c0f46a6f-c024-4fe9-b588-e860ba0552b5,Anaheim City Council Member,District 1,locality,,,,Anaheim city,,ocd-division/country:us/state:ca/place:anaheim/council_district:1,Anaheim City Council District 1,3b8f9d54-7582-4fa6-b047-a3da7b4eb06a,Denise Barnes,Nonpartisan,Independent,Non-White,Hispanic or Latino,Female,City,1,CA
CA,7f3bc5ea-a158-442f-97b0-30c9af763855,Anaheim City Council Member,District 3,locality,,,,Anaheim city,,ocd-division/country:us/state:ca/place:anaheim/council_district:3,Anaheim City Council District 3,99fd5bb3-58b6-4147-9c3d-b3c8a01b3472,Jose F. Moreno,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,CA
CA,46b5c4ee-af88-42bc-8ad0-38c66226a2b6,Anaheim City Council Member,District 2,locality,,,,Anaheim city,,ocd-division/country:us/state:ca/place:anaheim/council_district:2,Anaheim City Council District 2,0d41bc2c-a660-4318-8e8d-8c9fd197012d,Jordan Brandman,Nonpartisan,Independent,White,White,Male,City,1,CA
CA,19f5c93e-dc52-46cc-a2ae-0ed792f1838e,Anaheim City Council Member,District 4,locality,,,,Anaheim city,,ocd-division/country:us/state:ca/place:anaheim/council_district:4,Anaheim City Council District 4,96ed73dc-b999-429d-ae3d-40fa329b52a7,Lucille Kring,Nonpartisan,Independent,White,White,Female,City,1,CA
CA,88a5b469-e78b-4e63-a91e-61b5b137d5b7,Anaheim City Council Member,District 5,locality,,,,Anaheim city,,ocd-division/country:us/state:ca/place:anaheim/council_district:5,Anaheim City Council District 5,08193124-cf22-4848-b23d-691141abcf29,Stephen Faessel,Nonpartisan,Independent,White,White,Male,City,1,CA
CA,c12af40c-1293-4cbc-91d2-2d55415f0f96,Anaheim City Council Member,District 6,locality,,,,Anaheim city,,ocd-division/country:us/state:ca/place:anaheim/council_district:6,Anaheim City Council District 6,8bd2c999-faeb-4677-9a04-24839d4fee48,Trevor O'Neil,Nonpartisan,Independent,White,White,Male,City,1,CA
CA,8762c70f-4d38-40ea-9d14-9039d5765bee,Bakersfield Mayor,,locality,,,,Bakersfield city,,ocd-division/country:us/state:ca/place:bakersfield,Bakersfield city,744de693-6d21-48b4-bb1a-3fc2b3f037fd,Karen K. Goh,Nonpartisan,Independent,Non-White,Asian American or Pacific Islander,Female,City,1,CA
CA,d0ed59de-81db-4022-907e-6a6b2f5598cf,Bakersfield City Council Member,Ward 2,locality,,,,Bakersfield city,,ocd-division/country:us/state:ca/place:bakersfield/ward:2,Bakersfield City Council Ward 2,aac5b434-d8ad-4e9c-a48c-f0e3f7c750a0,Andrae Gonzales,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,CA
CA,14761343-e810-4e87-acca-1bbe16e3473d,Bakersfield City Council Member,Ward 1,locality,,,,Bakersfield city,,ocd-division/country:us/state:ca/place:bakersfield/ward:1,Bakersfield City Council Ward 1,8b8a70db-0c08-4ca2-acb7-ba217e62533b,Willie Rivera,Nonpartisan,Independent,Non-White,Multiracial,Male,City,1,CA
CA,99427c69-d7ce-43c1-9776-4e540ca1cb02,Bakersfield City Council Member,Ward 3,locality,,,,Bakersfield city,,ocd-division/country:us/state:ca/place:bakersfield/ward:3,Bakersfield City Council Ward 3,b5183c26-94fe-482d-b0f1-49dd4aff4ce2,Ken Weir,Nonpartisan,Independent,White,White,Male,City,1,CA
CA,b5209953-f557-4a6f-9d1c-fa87f7df05fa,Bakersfield City Council Member,Ward 4,locality,,,,Bakersfield city,,ocd-division/country:us/state:ca/place:bakersfield/ward:4,Bakersfield City Council Ward 4,272c1665-a983-47c2-8b25-733a406f0ddf,Bob Smith,Nonpartisan,Independent,White,White,Male,City,1,CA
CA,8866566d-725d-4bb5-affe-dbc237f6a0c1,Bakersfield City Council Member,Ward 5,locality,,,,Bakersfield city,,ocd-division/country:us/state:ca/place:bakersfield/ward:5,Bakersfield City Council Ward 5,99f04040-f01d-46f2-973b-a4476e2ad0a4,Bruce Freeman,Nonpartisan,Independent,White,White,Male,City,1,CA
CA,fe0faca0-8860-468b-a970-b65c353fdda3,Bakersfield City Council Member,Ward 6,locality,,,,Bakersfield city,,ocd-division/country:us/state:ca/place:bakersfield/ward:6,Bakersfield City Council Ward 6,51218a20-135d-4944-bffb-599c20c74100,Jacquie Sullivan,Nonpartisan,Independent,White,White,Female,City,1,CA
CA,d545b963-4ec5-4e4e-a2db-eff28c7e0e1e,Bakersfield City Council Member,Ward 7,locality,,,,Bakersfield city,,ocd-division/country:us/state:ca/place:bakersfield/ward:7,Bakersfield City Council Ward 7,f1b19610-6dd5-49f1-a07e-73a3410460e8,Chris Parlier,Nonpartisan,Independent,White,White,Male,City,1,CA
CA,fa6fb9b1-a010-4049-b0cb-42528635c585,Chula Vista City Council Member,District 3,locality,,,,Chula Vista city,,ocd-division/country:us/state:ca/place:chula_vista/council_district:3,Chula Vista Council District 3,41014fa4-acac-4bc6-8579-2d297f197d5d,Stephen C. Padilla,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,CA
CA,3cae4e44-483a-4643-9b80-d705acfe16f8,Chula Vista City Council Member,District 4,locality,,,,Chula Vista city,,ocd-division/country:us/state:ca/place:chula_vista/council_district:4,Chula Vista Council District 4,baa1d077-07a7-402f-b4a8-7709b19c4771,Mike Diaz,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,CA
